league,game_date,local_team,local_team_points,visit_team,visit_team_points,player_team,player_name,player_total_points,time,one_point_shots_get,one_point_shots_made,two_point_shots_get,two_point_shots_made,three_point_shots_get,three_point_shots_made,rebouts,assists,fouls,received_fouls
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Bernardi Andrea,0,0,0,0,0,0,0,0,0,0,0,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Craft Aaron,32,13,4,4,3,4,1,4,3,9,3,3
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Jefferson Johndre,25,18,2,8,8,14,0,1,12,0,2,6
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Baldi Rossi Filippo,8,7,0,0,2,4,1,1,2,1,1,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Moraschini Riccardo,7,2,0,2,1,1,0,0,0,0,2,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Forray Toto,12,5,0,0,1,2,1,2,3,1,3,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Flaccadori Diego,23,9,3,4,0,1,2,5,1,2,1,5
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Lovisotto Isacco,0,0,0,0,0,0,0,0,0,0,0,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Gomes Beto,32,14,2,2,0,0,4,5,7,4,2,2
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Hogue Dustin,25,15,3,6,6,8,0,2,4,0,3,5
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Lighty David,35,7,0,0,2,6,1,3,1,5,1,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,local,Lechthaler Luca,1,0,0,0,0,0,0,0,1,0,0,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Amato Andrea,4,0,0,0,0,1,0,0,0,1,1,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Mian Fabio,22,10,2,2,1,4,2,5,4,1,2,2
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Gaspardo Raphael,17,0,0,0,0,1,0,0,3,0,2,1
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Wojciechowski Jakub,13,8,0,0,1,3,2,4,5,0,4,2
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Biligha Paul Stephan,17,2,0,0,1,1,0,0,3,0,5,0
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,Turner Elston,28,19,3,3,2,6,4,7,3,1,0,3
lega,09/10/2016,Dolomiti Energia Trentino,90,Vanoli Cremona,77,visit,York Gabe,12,0,0,0,0,0,0,2,2,2,3,0
